1,1,1,47,60,5,3,2,3,3,3,3,4,5,3,4,3,4,4,2,4,3,3,3,4,3,4,3,3
2,1,0,68,81,5,2,3,2,3,3,3,4,4,2,3,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,1,1,81,94,4,4,3,4,3,3,3,3,3,5,4,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,1,1,57,71,5,4,3,4,4,3,5,4,5,4,3,3,4,3,3,4,4,3,3,5,3,3,4,3
5,1,0,77,90,5,5,2,5,3,2,1,5,3,3,3,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,1,0,49,62,3,5,3,5,4,3,3,5,5,4,3,3,4,5,2,5,4,4,3,4,4,5,2,3
7,1,1,55,67,4,5,3,4,4,5,4,5,4,4,3,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,1,0,80,93,5,4,3,4,5,4,3,5,4,4,3,4,5,5,3,5,4,4,4,5,5,4,4,4
9,1,1,91,-999,5,4,4,5,4,4,3,4,4,4,4,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
10,1,0,44,60,3,2,3,3,4,3,3,4,4,3,4,2,4,3,2,4,3,3,3,4,4,4,3,3
11,1,1,76,92,4,3,4,3,5,3,5,5,4,4,4,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
12,1,1,67,80,4,4,3,5,4,3,3,-999,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,5
13,1,0,43,55,3,2,3,3,5,3,3,5,4,3,4,2,2,3,3,3,3,3,2,4,3,2,4,2
14,1,1,58,71,5,4,3,4,3,3,2,4,3,3,4,3,3,3,4,5,4,2,4,4,4,3,4,3
15,1,1,88,101,5,4,3,4,3,2,2,4,3,5,4,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
16,1,1,73,86,2,4,2,4,4,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,4,4,3
17,1,0,66,81,5,4,3,4,5,4,3,5,4,3,5,3,5,4,5,4,4,4,4,5,5,5,5,4
18,1,1,52,65,5,3,3,4,4,2,2,4,4,5,2,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
19,1,0,52,65,5,3,4,4,2,5,3,5,4,3,2,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
20,1,0,61,73,3,-999,3,3,4,3,2,5,5,-999,4,-999,3,-999,3,3,3,3,4,4,5,-999,2,-999
21,1,1,77,94,5,3,5,4,5,5,5,5,5,4,5,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
22,1,0,46,63,5,4,4,5,4,5,3,5,4,5,5,4,3,4,4,3,2,3,2,5,3,4,4,1
23,1,1,67,80,4,3,4,5,5,2,2,3,4,5,3,-999,2,4,3,5,3,1,1,2,4,5,3,-999
24,1,0,55,67,5,5,4,4,3,5,4,5,5,5,5,3,4,5,4,4,4,4,5,5,5,4,5,4
25,1,1,57,-999,4,3,5,2,3,4,3,2,5,-999,5,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
