"id","site","gender","age_months_t1","age_group_t1","age_months_t2","age_group_t2","cpa_1_t1","cpa_2_t1","cpa_3_rs_t1","cpa_4_t1","cpa_5_rs_t1","cpa_6_t1","cpa_7_t1","cpa_8_t1","cpa_9_t1","cpa_10_t1","cpa_11_rs_t1","cpa_12_t1","cpa_1_v2_t2","cpa_2_t2","cpa_3_rs_t2","cpa_4_t2","cpa_5_v2_t2","cpa_6_t2","cpa_7_t2","cpa_8_t2","cpa_9_t2","cpa_10_t2","cpa_11_rs_t2","cpa_12_t2","language"
"CA_pr1_048_3_b",1,0,45,"4",59,"5",2,3,1,2,3,2,2,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_051_5_b",1,0,68,"6",80,"7",3,2,3,3,4,1,1,2,1,NA,3,2,3,3,1,3,3,2,2,2,2,2,2,3,"1"
"CA_pr1_056_4_b",1,0,58,"5",72,"6",4,3,2,3,2,3,4,4,4,3,3,3,3,3,3,4,3,1,2,4,4,2,3,2,"1"
"CA_pr1_057_6_g",1,1,80,"6",93,"7",4,4,4,4,1,3,3,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_058_4_g",1,1,49,"4",64,"5",2,1,1,3,3,2,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_059_6_g",1,1,73,"6",88,"7",3,2,3,4,3,2,2,3,3,NA,NA,2,4,2,2,3,4,2,2,3,4,4,2,3,"1"
"CA_pr1_062_5_b",1,0,63,"5",81,"7",3,3,2,3,4,3,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_063_5_g",1,1,64,"5",77,"6",3,3,1,4,2,1,2,4,2,3,3,3,4,2,2,4,4,2,4,4,4,4,4,4,"1"
"CA_pr1_064_7_b",1,0,85,"6",98,"7",4,3,2,3,4,3,4,4,4,4,3,2,2,4,2,3,4,4,2,3,3,3,3,2,"1"
"CA_pr1_066_5_g",1,1,69,"6",82,"7",4,3,4,4,4,3,3,4,4,3,4,2,4,3,4,3,4,4,4,4,4,3,4,2,"1"
"CA_pr1_067_7_g",1,1,88,"6",NA,NA,4,4,NA,4,4,3,3,4,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_068_4_b",1,0,56,"5",71,"6",3,2,1,4,3,1,2,1,3,2,2,NA,3,3,3,2,3,2,2,2,2,2,3,1,"1"
"CA_pr1_069_5_g",1,1,61,"5",75,"6",3,3,3,2,3,2,1,2,3,2,3,1,3,3,3,2,4,2,2,2,3,2,3,1,"1"
"CA_pr1_070_7_g",1,1,88,"6",NA,NA,4,3,2,3,3,2,1,4,3,4,2,3,2,4,3,3,3,1,3,4,3,3,4,3,"1"
"CA_pr1_072_5_g",1,1,70,"6",83,"7",4,2,3,3,4,4,3,4,3,2,3,1,4,3,3,4,3,4,3,4,4,3,3,1,"1"
"CA_pr1_074_6_b",1,0,79,"6",NA,NA,3,3,2,3,2,2,2,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_075_4_g",1,1,53,"4",NA,NA,3,2,3,2,4,2,2,3,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_076_7_g",1,1,86,"6",99,"7",4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,2,3,4,4,4,4,4,"1"
"CA_pr1_078_4_b",1,0,59,"5",74,"6",4,3,3,4,4,3,2,4,4,3,4,2,3,3,3,3,3,3,2,3,3,3,3,3,"1"
"CA_pr1_079_6_g",1,1,77,"6",93,"7",4,4,3,4,4,4,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
