"","var","n","mean","sd","skew","kurtosis","missing"
"1","cpa_1_t1",462,4.29437229437229,0.851138535648756,-0.873092357199847,0.85113310334493,0.0375
"2","cpa_2_t1",461,3.7114967462039,1.1483722575181,0.0789421832491522,-0.0134148969410726,0.0395833333333333
"3","cpa_3_rs_t1",462,3.56493506493507,1.10171621989509,0.083149055284403,-0.0904563733650794,0.0375
"4","cpa_4_t1",462,3.99350649350649,0.973600023305637,-0.254445668493686,-0.075308788015974,0.0375
"5","cpa_5_rs_t1",462,4.00865800865801,1.08025602328651,-0.985529709293931,0.442204608641243,0.0375
"6","cpa_6_t1",462,3.38744588744589,1.0493745540874,0.000135040694916123,-0.170349595405478,0.0375
"7","cpa_7_t1",460,3.27608695652174,1.0925943586296,0.0891447501494294,-0.152439714125846,0.0416666666666666
"8","cpa_8_t1",462,4.01731601731602,1.0412964052584,-0.35651352178752,-0.378408961779148,0.0375
"9","cpa_9_t1",462,4.01298701298701,0.92673250770047,-0.498835122380617,-0.0856235378761081,0.0375
"10","cpa_10_t1",462,3.93290043290043,1.17172020067788,0.307509829981501,-0.483765393489457,0.0375
"11","cpa_11_rs_t1",462,3.79437229437229,1.06966186394518,-0.0735695008456286,-0.152648578556938,0.0375
"12","cpa_12_t1",462,3.55411255411255,1.50785879571819,0.280969055461386,-0.862420857170508,0.0375
"13","cpa_1_v2_t2",378,3.76984126984127,0.869427981218516,-0.046783303654225,-0.339353479809216,0.2125
"14","cpa_2_t2",378,3.73015873015873,1.05608780891981,0.02653088093354,0.009390775990052,0.2125
"15","cpa_3_rs_t2",378,3.56349206349206,0.999968421883627,-0.142610701433314,0.0326319663738364,0.2125
"16","cpa_4_t2",378,2.98148148148148,0.916790576519314,-0.0871813503587022,-0.47426194542574,0.2125
"17","cpa_5_v2_t2",378,3.83597883597884,0.794261059633815,-0.144161118500827,-0.45121811545548,0.2125
"18","cpa_6_t2",378,3.36772486772487,0.921143107430487,0.146606551131858,0.060299321322939,0.2125
"19","cpa_7_t2",378,3.39153439153439,1.07300232009077,-0.00113111946573512,-0.483952825278989,0.2125
"20","cpa_8_t2",378,3.96825396825397,1.03726206580303,-0.505767210606575,-0.165118964975032,0.2125
"21","cpa_9_t2",377,4.08488063660477,0.864925005402091,-0.606129985115434,-0.108719475240603,0.214583333333333
"22","cpa_10_t2",378,3.97619047619048,1.07143488693352,0.318150752576238,-0.44327906023097,0.2125
"23","cpa_11_rs_t2",378,4.02910052910053,0.964461194503251,-0.18172112105548,0.107635114111906,0.2125
"24","cpa_12_t2",377,3.36604774535809,1.39859866334791,0.478813509750439,-0.53422501431581,0.214583333333333
