"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"1","HE_T1","=~","CPA_3_RS_t1","",0.516301907707072,0.116661577982351,4.42563795755601,0.0000096157679692066,0.287649416482053,0.74495439893209,0.516301907707072,0.458764213020672
"2","HE_T1","=~","CPA_6_t1","",1.46280441192421,0.676169351029443,2.16336988610492,0.0305127418160358,0.137536836456677,2.78807198739174,1.46280441192421,0.825535006168941
"3","SH_T1","=~","CPA_5_RS","",0.483409566185772,0.0685145870621435,7.05557147629474,0.00000000000171884728672467,0.349123443128337,0.617695689243208,0.483409566185772,0.435224296464082
"4","SH_T1","=~","CPA_7_t1","",1.03212326251725,0.126910144223507,8.1327089243515,0.000000000000000444089209850063,0.783383950566397,1.28086257446811,1.03212326251725,0.718194809335254
"5","SH_T1","=~","CPA_9_t1","",1.67027452338052,0.330716757248016,5.05046837444624,0.00000044072807714457,1.02208159009053,2.31846745667051,1.67027452338052,0.857983109037494
"6","CO_T1","=~","CPA_2_t1","",1.33395541540285,0.13740464699205,9.70822635627476,0,1.06464725598999,1.60326357481571,1.33395541540285,0.800134309563524
"7","CO_T1","=~","CPA_4_t1","",1.44129108751641,0.143395041232397,10.0511919737904,0,1.16024197113928,1.72234020389355,1.44129108751641,0.821609347245966
"8","CO_T1","=~","CPA_10_t1","",0.82881220975491,0.0883094923927902,9.38531280497516,0,0.655728785172028,1.00189563433779,0.82881220975491,0.638127779036065
"9","CO_T1","=~","CPA_12_t1","",1.09968746484535,0.112819309976652,9.74733372392489,0,0.878565680530455,1.32080924916025,1.09968746484535,0.739844922735355
"10","HE_T2","=~","CPA_1_V2","",0.521801160586982,0.0781847297842739,6.67395234372144,0.0000000000249005260855029,0.368561906068809,0.675040415105155,0.521801160586982,0.780897965829104
"11","HE_T2","=~","CPA_6_t2","",0.915011879509087,0.331547086926944,2.75982482002838,0.00578323634510336,0.265191529953107,1.56483222906507,0.915011879509087,0.575757308099795
"12","SH_T2","=~","CPA_5_V2","",0.42514451173712,0.0627105412622379,6.77947444209236,0.0000000000120614629395277,0.302234109412121,0.548054914062119,0.42514451173712,0.517141115706418
"13","SH_T2","=~","CPA_7_t2","",1.30573614047716,0.164135082657779,7.95525319349072,0.00000000000000177635683940025,0.98403728986841,1.62743499108591,1.30573614047716,0.780477467038133
"14","SH_T2","=~","CPA_9_t2","",1.48269836320472,0.28043772036081,5.28708606423232,0.000000124280176372338,0.933050531391017,2.03234619501842,1.48269836320472,0.815164451772478
"15","CO_T2","=~","CPA_2_t2","",1.04805905541986,0.151564421905455,6.91494113357045,0.00000000000468047822721473,0.750998247147531,1.34511986369218,1.04805905541986,0.695931330762137
"16","CO_T2","=~","CPA_4_t2","",1.29444497478149,0.189126052011961,6.84435042666479,0.00000000000768229924119623,0.9237647242998,1.66512522526319,1.29444497478149,0.802358394855011
"17","CO_T2","=~","CPA_10_t2","",0.768085058282649,0.0946941568686938,8.11121914679173,0.000000000000000444089209850063,0.582487921273622,0.953682195291675,0.768085058282649,0.711650164066485
"18","CO_T2","=~","CPA_12_t2","",1.11068065224759,0.303825856538672,3.65564888025327,0.000256532275832333,0.515192915859758,1.70616838863542,1.11068065224759,0.717427006356187
"19","HE_T1","~1","","",0,0,NA,NA,0,0,0,0
"20","SH_T1","~1","","",0,0,NA,NA,0,0,0,0
"21","CO_T1","~1","","",0,0,NA,NA,0,0,0,0
"22","HE_T2","~1","","",-0.0180939993703217,0.12815262353842,-0.141191017949759,0.887719041632081,-0.269268526029945,0.233080527289301,-0.0180939993703217,-0.0180939993703217
"23","SH_T2","~1","","",0.180872303063341,0.0843149118543455,2.14519945624564,0.0319369030766148,0.0156181124691546,0.346126493657528,0.180872303063341,0.180872303063341
"24","CO_T2","~1","","",-0.0620534838358181,0.147674673665249,-0.420203967922637,0.674336456342563,-0.351490525648411,0.227383557976775,-0.0620534838358181,-0.0620534838358181
"25","HE_T1","~~","HE_T1","",1,0,NA,NA,1,1,1,1
"26","SH_T1","~~","SH_T1","",1,0,NA,NA,1,1,1,1
"27","CO_T1","~~","CO_T1","",1,0,NA,NA,1,1,1,1
"28","HE_T2","~~","HE_T2","",1,0,NA,NA,1,1,1,1
"29","SH_T2","~~","SH_T2","",1,0,NA,NA,1,1,1,1
"30","CO_T2","~~","CO_T2","",1,0,NA,NA,1,1,1,1
"31","CPA_2_t1","~~","CPA_2_t1","",1,0,NA,NA,1,1,1,0.359785086659302
"32","CPA_3_RS_t1","~~","CPA_3_RS_t1","",1,0,NA,NA,1,1,1,0.789535396851523
"33","CPA_4_t1","~~","CPA_4_t1","",1,0,NA,NA,1,1,1,0.324958080518058
"34","CPA_5_RS","~~","CPA_5_RS","",1,0,NA,NA,1,1,1,0.810579811767345
"35","CPA_6_t1","~~","CPA_6_t1","",1,0,NA,NA,1,1,1,0.318491953589646
"36","CPA_7_t1","~~","CPA_7_t1","",1,0,NA,NA,1,1,1,0.484196215843898
"37","CPA_9_t1","~~","CPA_9_t1","",1,0,NA,NA,1,1,1,0.263864984606355
"38","CPA_10_t1","~~","CPA_10_t1","",1,0,NA,NA,1,1,1,0.592792937622499
"39","CPA_12_t1","~~","CPA_12_t1","",1,0,NA,NA,1,1,1,0.452629490302717
"40","CPA_1_V2","~~","CPA_1_V2","",0.174223584951885,0.0564875448143676,3.08428319064721,0.00204043269989218,0.0635100315406324,0.284937138363138,0.174223584951885,0.390198366963967
"41","CPA_2_t2","~~","CPA_2_t2","",1.1695496643036,0.29588145063979,3.95276439862879,0.0000772534928397128,0.589632677356149,1.74946665125106,1.1695496643036,0.515679582863642
"42","CPA_4_t2","~~","CPA_4_t2","",0.927149806483857,0.264747079668851,3.50202090101824,0.000461743394657876,0.408255065320753,1.44604454764696,0.927149806483857,0.35622100620569
"43","CPA_5_V2","~~","CPA_5_V2","",0.495109458134442,0.0984948501025887,5.02675477569389,0.000000498849592300843,0.302063099270697,0.688155816998187,0.495109458134442,0.732565066445921
"44","CPA_6_t2","~~","CPA_6_t2","",1.68841128581386,1.07149834999706,1.57574791022169,0.115083911283769,-0.411686889674478,3.78850946130219,1.68841128581386,0.668503522169678
"45","CPA_7_t2","~~","CPA_7_t2","",1.0939707196765,0.264585342076814,4.13466109305063,0.0000355478829956457,0.57539297836873,1.61254846098426,1.0939707196765,0.39085492344574
"46","CPA_9_t2","~~","CPA_9_t2","",1.10998377122597,0.395926075982892,2.80351267208258,0.00505492457794388,0.333982921759232,1.88598462069271,1.10998377122597,0.335506916566475
"47","CPA_10_t2","~~","CPA_10_t2","",0.574936976297249,0.132271723540121,4.3466355537649,0.0000138241630476266,0.315689161985574,0.834184790608924,0.574936976297249,0.493554043984145
"48","CPA_12_t2","~~","CPA_12_t2","",1.16313978754315,0.62621212278989,1.85742138360584,0.063251226523634,-0.0642134198074082,2.39049299489371,1.16313978754315,0.4852984905508
"49","CPA_2_t1","~~","CPA_2_t2","",0.210172192883995,0.120608370163751,1.74260038999484,0.0814034418693519,-0.0262158688710324,0.446560254639022,0.210172192883995,0.1943416659336
"50","CPA_3_RS_t1","~~","CPA_1_V2","",0.0485416995453385,0.0437625733254006,1.10920578605838,0.267341417101086,-0.0372313680432398,0.134314767133917,0.0485416995453385,0.116295123675806
"51","CPA_4_t1","~~","CPA_4_t2","",0.315834326857303,0.124080038370018,2.54540803666949,0.0109150110336329,0.0726419204517195,0.559026733262886,0.315834326857303,0.328007953140906
"52","CPA_5_RS","~~","CPA_5_V2","",0.0530490253312873,0.0452425504347648,1.17254718890746,0.2409774380679,-0.0356247440895888,0.141722794752163,0.0530490253312873,0.0753922661580704
"53","CPA_6_t1","~~","CPA_6_t2","",0.575768593426599,0.365738908111032,1.57426125757395,0.115427062560711,-0.141066494216029,1.29260368106923,0.575768593426599,0.443107242365064
"54","CPA_7_t1","~~","CPA_7_t2","",0.237294235624788,0.0965957677480812,2.45656969406407,0.0140270590990812,0.0479700097795531,0.426618461470023,0.237294235624788,0.226873796891682
"55","CPA_9_t1","~~","CPA_9_t2","",0.010533536480919,0.162384062086293,0.0648680439791025,0.94827906419708,-0.307733376871532,0.32880044983337,0.010533536480919,0.00999806346311117
"56","CPA_10_t1","~~","CPA_10_t2","",0.25379440155871,0.0680647564086843,3.72871975086256,0.000192455038478645,0.120389930381197,0.387198872736223,0.25379440155871,0.334712489114735
"57","CPA_12_t1","~~","CPA_12_t2","",0.260682708077757,0.134962799476932,1.93151527004531,0.0534193627855455,-0.00383951814973105,0.525204934305245,0.260682708077757,0.241710918133306
"58","CPA_3_RS_t1","|","t1","a1",-1.12171332569349,0.0925350847317083,-12.1220327289452,0,-1.303078759074,-0.940347892312975,-1.12171332569349,-0.996707398161576
"59","CPA_3_RS_t1","|","t2","",0.0160655313468278,0.0674824736229556,0.238069686606194,0.811827045448474,-0.116197686541839,0.148328749235495,0.0160655313468278,0.0142751571029794
"60","CPA_3_RS_t1","|","t3","",1.25645571128245,0.101492229449612,12.3798217666137,0,1.05753459685054,1.45537682571437,1.25645571128245,1.1164338286909
"61","CPA_1_V2","|","t1","a1",-1.12171332569349,0.0925350847317084,-12.1220327289452,0,-1.303078759074,-0.940347892312975,-1.12171332569349,-1.67869242240105
"62","CPA_1_V2","|","t2","",-0.174121384052951,0.0697705320517895,-2.49562929982681,0.0125733922177045,-0.310869114056656,-0.0373736540492464,-0.174121384052951,-0.260580169007945
"63","CPA_1_V2","|","t3","",0.534064631482407,0.112957466965752,4.72801529485723,0.00000226725110086257,0.31267206444466,0.755457198520154,0.534064631482407,0.799250779505235
"64","CPA_2_t1","|","t1","a2",-2.01435716000413,0.163616915242903,-12.3114236508716,0,-2.33504042114176,-1.6936738988665,-2.01435716000413,-1.20825348195577
"65","CPA_2_t1","|","t2","",-0.0444621828765853,0.101898980440331,-0.436335895456981,0.662593041897858,-0.244180514600986,0.155256148847815,-0.0444621828765853,-0.0266693456069519
"66","CPA_2_t1","|","t3","",1.75260293705084,0.156059743001885,11.2303333540006,0,1.44673146133057,2.05847441277111,1.75260293705084,1.05124783391106
"67","CPA_2_t2","|","t1","a2",-2.01435716000413,0.163616915242903,-12.3114236508716,0,-2.33504042114176,-1.6936738988665,-2.01435716000413,-1.33757182073135
"68","CPA_2_t2","|","t2","",-0.255342704049746,0.154094394020611,-1.65705381868462,0.097508594723221,-0.557362166549667,0.0466767584501754,-0.255342704049746,-0.16955245690669
"69","CPA_2_t2","|","t3","",1.3530797027869,0.300135900297655,4.50822344626221,0.00000653727086841194,0.764824147735995,1.94133525783781,1.3530797027869,0.898470895621904
"70","CPA_4_t1","|","t1","a4",-2.74687550930324,0.221255889439789,-12.4149260670901,0,-3.1805290839726,-2.31322193463387,-2.74687550930324,-1.56585898137587
"71","CPA_4_t1","|","t2","a4_2",-0.873540942173107,0.11890135663673,-7.34677018734082,0.000000000000202948768901479,-1.10658331889405,-0.640498565452164,-0.873540942173107,-0.497962840059053
"72","CPA_4_t1","|","t3","",0.999469534218338,0.117321169119136,8.51908945097035,0,0.769524268120699,1.22941480031598,0.999469534218338,0.569748553025732
